Player,TEAM,PLAYOFF,PPG,TS%,USG%,OWS,DWS,WS,WS.48,OBPM,DBPM,BPM,VORP,SALARY
Jevon Carter,CHI,0,12.2,0.509,21,0.1,0.3,0.3,0.046,-1,-1.1,-2.1,0,6500000
Jock Landale,HOU,1,16,0.59,15.7,1,0.7,1.7,0.159,0,0.4,0.4,0.3,8000000
John Konchar,MEM,1,12.1,0.592,8,0.6,0.9,1.5,0.131,-0.7,2.3,1.7,0.5,6165000
Johnny Furphy,IND,1,9.8,0.506,13,0.1,0.5,0.5,0.07,-3,0.6,-2.5,0,1850842
Johnny Juzang,UTA,0,11.8,0.573,17.6,1.3,0.3,1.6,0.06,-0.9,-1.4,-2.3,-0.1,3087519
Jonas Valanciunas,SAC,0,20.8,0.602,22.8,2.6,1.7,4.3,0.137,0.8,-0.1,0.6,1,9900000
Jonathan Kuminga,GSW,1,15.7,0.535,27.4,0.5,1.5,1.9,0.08,-0.5,-0.1,-0.6,0.4,7636307
Jonathan Mogbo,TOR,0,11.9,0.496,15,0.3,1.6,1.9,0.071,-2.9,1,-1.9,0,1862265
Jordan Goodwin,LAL,1,12.1,0.541,14.1,0.2,0.7,1,0.084,-1.7,0.8,-0.8,0.2,223718
Jordan McLaughlin,SAS,0,12.3,0.6,13.3,0.4,0.2,0.6,0.098,-1.6,0,-1.6,0,2087519
Jordan Miller,LAC,1,10.5,0.509,18.2,-0.1,0.5,0.4,0.049,-3,0.2,-2.8,-0.1,1050000
Jose Alvarado,NOP,0,13.4,0.523,19.8,0.7,0.5,1.2,0.043,-0.6,-0.8,-1.4,0.2,1988598
Josh Giddey,CHI,0,18.1,0.57,21.7,2.8,2.5,5.3,0.121,1.9,1.1,3,2.7,8352367
Josh Minott,MIN,1,15.5,0.605,17.2,0.4,0.5,0.9,0.153,-0.7,2.9,2.2,0.3,2019699
Josh Okogie,CHO,0,16.3,0.567,19.5,0.6,0.7,1.3,0.1,-0.1,1.6,1.5,0.6,8250000
Justin Champagnie,WAS,0,15.7,0.614,15.6,1.6,1.2,2.8,0.1,-0.3,-0.2,-0.5,0.5,1800000
Karlo Matkovic,NOP,0,15.6,0.639,15.9,1,0.6,1.6,0.096,-1.9,-0.2,-2,0,1407153
Keegan Murray,SAC,0,12,0.553,15,2.4,2.1,4.4,0.082,-0.8,-0.8,-1.6,0.2,8809560
Kel'el Ware,MIA,1,17.4,0.603,17.2,1.7,2.5,4.1,0.14,-0.7,0.6,-0.1,0.7,4231800
Kelly Oubre Jr.,PHI,0,13.5,0.551,18.9,1.2,1.4,2.6,0.061,-1.7,-0.6,-2.3,-0.1,7983000
Kenrich Williams,OKC,1,13.7,0.587,15.4,1.6,1.9,3.6,0.151,-0.4,0.9,0.6,0.7,6669000
Keon Ellis,SAC,0,13.5,0.664,12.7,2.7,2.2,5,0.122,-0.1,2,1.9,1.9,2120693
Keshad Johnson,MIA,1,19.1,0.718,15.4,0.2,0.2,0.4,0.181,-1,0.9,-0.1,0,724883
Kevin Love,MIA,1,16.2,0.488,24.6,-0.1,0.5,0.4,0.083,-0.3,0.7,0.4,0.2,3850000
Kevin Porter Jr.,MIL,1,15.4,0.531,25.4,-0.1,2.3,2.2,0.072,-1.6,0.9,-0.6,0.5,3366937
Kevon Looney,GSW,1,17,0.535,13.3,2.2,2.1,4.3,0.182,-1,1.3,0.3,0.7,8000000
Killian Hayes,BRK,0,12.7,0.559,15.5,0.2,0.1,0.3,0.095,-0.5,-0.1,-0.6,0.1,119972
Kobe Brown,LAC,1,10.8,0.513,14,0.1,0.4,0.5,0.085,-2.5,0.4,-2.1,0,2533920
Kris Dunn,LAC,1,11.3,0.531,12.7,0.8,3.2,4,0.108,-2.8,3.4,0.6,1.2,5168000
Kyle Anderson,MIA,1,15.1,0.538,15.9,1.3,1.5,2.8,0.135,-0.6,2.2,1.5,0.9,8780488
Kyle Filipowski,UTA,0,14.9,0.594,18.7,1.5,1,2.5,0.078,-0.6,-0.3,-1,0.4,3000000
Kyle Lowry,PHI,0,9.8,0.525,10.1,0.6,0.4,1,0.07,-2.8,1.5,-1.3,0.1,2087519
Kylor Kelley,NOP,0,12.1,0.644,10.3,0.2,0.1,0.3,0.102,-3.5,-1.9,-5.4,-0.1,73153
Landry Shamet,NYK,1,9.7,0.601,14.8,0.5,0.5,1,0.065,-1.9,-0.6,-2.4,-0.1,1343690
Larry Nance Jr.,ATL,0,16,0.632,15.7,0.8,0.5,1.3,0.131,1.1,0.7,1.8,0.4,11205000
Lindy Waters III,DET,1,8.8,0.504,14.8,0.1,0.9,1,0.062,-3,0.2,-2.8,-0.2,2196970
Lonnie Walker IV,PHI,0,13.1,0.548,22.8,0.2,0.1,0.3,0.033,0,-2.4,-2.4,0,780932
Luka Garza,MIN,1,18.8,0.573,26.2,0.4,0.3,0.7,0.144,-0.4,-1.9,-2.3,0,2162606
Luke Kennard,MEM,1,13.6,0.631,14.5,2.6,1.3,3.9,0.127,0.9,0.2,1.1,1.2,9250000
Luke Kornet,BOS,1,19.6,0.683,11.4,4.8,2.2,7,0.246,1.6,1.7,3.3,1.8,2087519
Malik Beasley,DET,1,14.4,0.59,22.5,2.9,1.8,4.7,0.1,2,-1.2,0.8,1.6,6000000
Marcus Sasser,DET,1,14,0.589,19.4,1,0.8,1.8,0.108,-0.4,-0.2,-0.6,0.3,2755080
Mark Williams,CHO,0,23.9,0.647,21.4,3.1,1.6,4.7,0.195,2.5,0.9,3.5,1.6,4094280
Mason Plumlee,PHO,0,14.8,0.645,10.8,2.4,1.3,3.7,0.136,-1.5,1,-0.6,0.5,2087519
Matas Buzelis,CHI,0,12.5,0.571,18.7,0.5,1.4,1.9,0.06,-2,-0.5,-2.5,-0.2,5195520
Matisse Thybulle,POR,0,17,0.592,14.4,0.4,0.6,0.9,0.146,0,5.1,5,0.6,11025000
Mike Conley,MIN,1,13.3,0.573,14.4,3,2.2,5.2,0.142,-0.1,1.3,1.2,1.4,9975962
Miles McBride,NYK,1,12.6,0.531,16.8,1.8,1.4,3.2,0.098,-0.4,0.4,0,0.8,4710144
Mo Bamba,UTA,0,13.9,0.557,15.2,0.2,0.8,1,0.117,-2.7,1.9,-0.9,0.1,2207491
Monte Morris,PHO,0,13.1,0.546,18.1,0.6,0.2,0.8,0.064,-1,-0.8,-1.8,0,2087519
Moritz Wagner,ORL,1,22.3,0.649,26.8,1,1,2,0.174,2.6,1.4,4,0.9,11000000
Moses Brown,IND,1,22.4,0.706,23.5,0.2,0.2,0.4,0.146,-0.3,0.5,0.1,0.1,426632
Moses Moody,GSW,1,12.4,0.578,17.4,1.7,1.8,3.5,0.102,-0.9,0,-0.9,0.5,5803269
Mouhamed Gueye,ATL,0,14.4,0.52,15.7,0.4,0.8,1.2,0.106,-1.6,1,-0.6,0.2,1891857
Moussa Diabate,CHO,0,16.5,0.609,13.4,1.8,1.5,3.2,0.125,-1.4,-0.4,-1.9,0,957763
Naji Marshall,DAL,0,15.1,0.584,20,2,1.5,3.5,0.087,-0.3,-0.5,-0.8,0.6,8571429
Neemias Queta,BOS,1,16.3,0.674,13.7,1.8,1.4,3.2,0.179,-1.7,1,-0.7,0.3,2162606
Nickeil Alexander-Walker,MIN,1,11.6,0.579,16,2,2.3,4.3,0.099,-0.8,0.4,-0.4,0.8,4312500
Nicolas Batum,LAC,1,10.3,0.633,9,1.5,2,3.5,0.124,-1.2,2,0.8,1,4668000
Nikola Jovic,MIA,1,13.8,0.595,18.3,1.2,1.3,2.5,0.104,-0.3,0.6,0.3,0.7,2464200
Ochai Agbaji,TOR,0,12,0.601,14.6,1.6,1.5,3.1,0.087,-0.9,0.2,-0.7,0.5,4310280
Olivier-Maxence Prosper,DAL,0,12.6,0.484,16.3,0.3,0.5,0.9,0.072,-1.6,-0.5,-2.1,0,2870400
Oso Ighodaro,PHO,0,11.1,0.61,10.5,1.1,0.6,1.6,0.075,-2.9,0.3,-2.6,-0.2,1157153
Ousmane Dieng,OKC,1,11.5,0.538,15.7,0.1,0.7,0.9,0.104,-2,1.1,-0.9,0.1,5027040
Pat Connaughton,MIL,1,12.1,0.567,15.6,0.6,0.6,1.2,0.093,-1.4,-0.8,-2.3,0,9423869
Pat Spencer,GSW,1,12.6,0.455,21.2,-0.1,0.4,0.3,0.055,-3,1.4,-1.6,0,438810
Paul Reed,DET,1,18.6,0.573,18,0.6,1,1.6,0.173,-1.2,4,2.9,0.5,3913234
Payton Pritchard,BOS,1,17.6,0.633,19,6.1,2.5,8.6,0.183,3.4,0.2,3.5,3.2,6696429
Pelle Larsson,MIA,1,10.2,0.546,14.4,0.6,0.8,1.4,0.086,-3.8,0.7,-3.1,-0.2,1157153
Peyton Watson,DEN,1,11.4,0.564,13.9,1,1.5,2.5,0.073,-2.1,0.3,-1.8,0.1,2413560
Precious Achiuwa,NYK,1,13.6,0.53,14.9,0.7,1.7,2.3,0.095,-2.1,0.2,-1.9,0,6000000
Quentin Grimes,PHI,0,15.9,0.595,22.8,2,1.4,3.4,0.081,1.3,-0.9,0.4,1.2,4296682
Quinten Post,GSW,1,14.2,0.595,19.6,0.8,0.9,1.7,0.116,0.1,0,0.1,0.4,438920
Reed Sheppard,HOU,1,9.7,0.465,17.8,-0.3,1,0.8,0.055,-3,1.3,-1.7,0.1,10098960
Royce O'Neale,PHO,0,12.6,0.585,15.5,1.6,1.2,2.8,0.073,0.2,-0.1,0.1,1,9375000
Russell Westbrook,DEN,1,14.3,0.532,23.8,-0.1,2.1,1.9,0.045,-0.9,-0.2,-1.1,0.5,5631296
Ryan Rollins,WAS,0,14,0.6,18.4,0.7,1,1.7,0.101,-1.4,0.9,-0.5,0.3,1091887
Sam Hauser,BOS,1,12.8,0.632,14.3,2.6,1.8,4.4,0.136,0.9,-0.1,0.8,1.1,2092344
Sam Merrill,CLE,1,11.1,0.583,14.3,1.8,1.5,3.3,0.113,-0.4,0.7,0.3,0.8,2164993
Sandro Mamukelashvili,SAS,0,19.7,0.628,20.8,1.6,0.6,2.2,0.152,3.3,-1,2.3,0.7,2087519
Santi Aldama,MEM,1,16.8,0.588,18.5,2.9,2,5,0.144,2.5,0.7,3.2,2.2,3960531
Scoot Henderson,POR,0,12.5,0.54,22.5,0.4,1.4,1.8,0.049,-1.4,-0.8,-2.2,-0.1,10259160
Scottie Barnes,TOR,0,17.8,0.523,27,0.6,2.9,3.5,0.078,1.5,0.9,2.4,2.3,10130980
Scotty Pippen Jr.,MEM,1,15.8,0.582,19.3,2.4,2.3,4.7,0.133,0,1.8,1.9,1.7,2087519
Seth Curry,CHO,0,12.2,0.616,15.7,1.3,0.5,1.8,0.08,-0.8,-0.9,-1.7,0.1,2087519
Shaedon Sharpe,POR,0,14.5,0.551,25.1,1.3,1.7,3,0.064,0,-1.3,-1.3,0.4,6614160
Shake Milton,LAL,1,11.9,0.563,16.7,0.8,0.5,1.3,0.077,-1.7,-0.5,-2.2,0,2875000
Spencer Dinwiddie,DAL,0,13,0.553,17.9,2.4,1.2,3.7,0.082,-0.9,-0.7,-1.6,0.2,2087519
T.J. McConnell,IND,1,18.4,0.547,23.4,1.5,1.7,3.2,0.109,0.6,0.6,1.2,1.2,9300000
Talen Horton-Tucker,CHI,0,13.8,0.567,21.6,0.6,0.5,1.1,0.075,-1.4,-1.1,-2.4,-0.1,2087519
Tari Eason,HOU,1,18.5,0.567,19.4,2.1,2.9,5,0.169,1,2.6,3.6,2,3695160
Taurean Prince,MIL,1,9.8,0.613,12.5,1.3,2.2,3.5,0.077,-2,0.3,-1.7,0.1,2087519
Terance Mann,ATL,0,12,0.584,14.7,1.7,1.3,3,0.101,-1.4,0,-1.3,0.2,11423077
Terrence Shannon Jr.,MIN,1,11.9,0.56,17.7,0.3,0.4,0.6,0.091,-2.1,0,-2.1,0,2546640
Thomas Bryant,IND,1,17.2,0.614,17.1,1.8,1.2,3.1,0.152,0.7,0,0.6,0.6,2087519
Tony Bradley,IND,1,23.2,0.64,20.1,0.3,0.2,0.4,0.187,1.5,-0.3,1.2,0.1,600545
Torrey Craig,CHI,0,12.9,0.567,14.1,0.4,0.4,0.8,0.122,-1,0.1,-0.9,0.1,3625162
Toumani Camara,POR,0,12.5,0.572,14.4,2.5,2.6,5.2,0.097,-0.9,0.8,-0.1,1.2,1891857
Trayce Jackson-Davis,GSW,1,18.5,0.587,17.1,1.9,1.4,3.4,0.167,0.3,0.9,1.2,0.8,1891857
Tre Jones,CHI,0,16.3,0.617,14.1,2.3,0.6,2.9,0.155,0.5,1,1.5,0.8,9104167
Trey Lyles,SAC,0,12.3,0.551,14.3,1.3,1.2,2.6,0.091,-0.4,-0.3,-0.7,0.4,8000000
Trey Murphy III,NOP,0,17.3,0.598,23.7,3,0.5,3.5,0.091,2.1,-1.4,0.8,1.3,5159854
Ty Jerome,CLE,1,21,0.643,23.6,4.2,1.8,5.9,0.204,3.5,0.8,4.3,2.2,2560975
Tyler Kolek,NYK,1,10.3,0.453,15.8,0.1,0.3,0.4,0.058,-2.6,-0.3,-2.8,-0.1,2087519
Tyrese Martin,BRK,0,10.9,0.533,18.8,0,0.9,0.9,0.033,-1.4,-1.2,-2.6,-0.2,635853
Tyus Jones,PHO,0,14.5,0.585,16.2,4,0.3,4.4,0.096,1.4,-1.3,0.1,1.1,2087519
Vince Williams Jr.,MEM,1,9.2,0.504,17,-0.1,0.5,0.4,0.04,-2.5,-0.3,-2.8,-0.1,2120693
Vit Krejci,ATL,0,12.7,0.661,12.9,1.8,0.8,2.6,0.11,0,0.7,0.7,0.8,2162606
Walker Kessler,UTA,0,20,0.66,13.7,3.6,1.8,5.4,0.149,1.1,0.7,1.8,1.7,2965920
Wendell Moore Jr.,DET,1,11,0.553,13.8,0.2,0.5,0.7,0.063,-2.6,-0.1,-2.7,-0.1,2537040
Zach Edey,MEM,1,18.2,0.624,16.4,2.7,2.2,4.9,0.165,-0.2,0.1,-0.1,0.7,5756880
Zeke Nnaji,DEN,1,12,0.574,12.2,0.6,0.6,1.2,0.097,-2.1,0.7,-1.3,0.1,8888889
Ziaire Williams,BRK,0,11.9,0.55,18.2,0.5,1.6,2.1,0.065,-2.2,-0.1,-2.3,-0.1,6133005
